gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
2566053581	da3542b4-9a73-4054-b9a3-2d762e172199	291d6be5-28d4-4986-b2c4-470d0aec4811	Fungi	Basidiomycota	Agaricomycetes	Amylocorticiales	Amylocorticiaceae	Plicaturopsis	Plicaturopsis crispa		SPECIES	Plicatura crispa (Pers.) Rea	Plicatura crispa (Pers.) Rea	(Pers.) Rea	PL	Poland		PRESENT		37560003-ae75-43c3-95aa-48c98797aa2a									1899-01-01T00:00:00			1899	2526733	2526725	UNKNOWN							CC_BY_4_0				INTRODUCED	2021-03-09T09:43:08.044Z		
2566053580	da3542b4-9a73-4054-b9a3-2d762e172199	0b278df8-0ae7-4f68-a250-2b47cb2d13a3	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Thelephora	Thelephora terrestris		SPECIES	Thelephora terrestris Ehrh.	Thelephora terrestris Ehrh.	Ehrh.	PR	Puerto Rico		PRESENT		37560003-ae75-43c3-95aa-48c98797aa2a									1967-01-01T00:00:00			1967	2522935	2522935	UNKNOWN							CC_BY_4_0				INTRODUCED	2021-03-09T09:43:07.869Z		
2566053579	da3542b4-9a73-4054-b9a3-2d762e172199	7eb667c6-1480-4f8f-b629-807c44b503a1	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Hymenochaetaceae	Pyrrhoderma	Pyrrhoderma noxium		SPECIES	Phellinus noxius (Corner) G.Cunn.	Phellinus noxius (Corner) G. Cunn	(Corner) G. Cunn	KE	Kenya		PRESENT		37560003-ae75-43c3-95aa-48c98797aa2a													2520109	10882566	UNKNOWN							CC_BY_4_0				INTRODUCED	2021-03-09T09:43:08.027Z		
2566053578	da3542b4-9a73-4054-b9a3-2d762e172199	938261b9-18ff-470f-b395-f93d55452beb	Fungi	Basidiomycota	Agaricomycetes	Boletales	Sclerodermataceae	Pisolithus	Pisolithus arhizus		SPECIES	Pisolithus tinctorius (Pers.) Coker & Couch	Pisolithus tinctorius (Pers.) Coker & Couch	(Pers.) Coker & Couch	NG	Nigeria		PRESENT		37560003-ae75-43c3-95aa-48c98797aa2a									1974-01-01T00:00:00			1974	2525466	2525455	UNKNOWN							CC_BY_4_0				INTRODUCED	2021-03-09T09:43:07.820Z		
2566053577	da3542b4-9a73-4054-b9a3-2d762e172199	da0d87bc-1729-45bd-b277-e2f6517b921e	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita gemmata		SPECIES	Amanita gemmata (Fr.) Bertill.	Amanita gemmata (Fr.) Bertill.	(Fr.) Bertill.	CO	Colombia		PRESENT		37560003-ae75-43c3-95aa-48c98797aa2a													5240292	5240292	UNKNOWN							CC_BY_4_0				INTRODUCED	2021-03-09T09:43:07.750Z		
2566053576	da3542b4-9a73-4054-b9a3-2d762e172199	2461edb8-f046-4ec3-933e-f4b76066c8cb	Fungi	Basidiomycota	Agaricomycetes	Boletales	Rhizopogonaceae	Rhizopogon	Rhizopogon subolivascens		SPECIES	Rhizopogon subolivascens A.H.Sm.	Rhizopogon subolivascens A.H. Sm.	A.H. Sm.	AR	Argentina		PRESENT		37560003-ae75-43c3-95aa-48c98797aa2a													3356519	3356519	UNKNOWN							CC_BY_4_0				INTRODUCED	2021-03-09T09:43:07.712Z		
2566053575	da3542b4-9a73-4054-b9a3-2d762e172199	18ce51f4-6323-4ef4-837b-0e163444396a	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Pluteaceae	Volvopluteus	Volvopluteus gloiocephalus		SPECIES	Volvariella gloiocephala (DC.) Boekhout & Enderle	Volvariella gloiocephala (DC.) Boekhout & Enderle	(DC.) Boekhout & Enderle	NZ	New Zealand		PRESENT		37560003-ae75-43c3-95aa-48c98797aa2a													5241424	8329645	UNKNOWN							CC_BY_4_0				INTRODUCED	2021-03-09T09:43:07.595Z		
2566053574	da3542b4-9a73-4054-b9a3-2d762e172199	c0b30d5e-6262-4752-98dd-b01195367f8f	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Hymenochaetaceae	Coltricia	Coltricia cinnamomea		SPECIES	Coltricia cinnamomea (Jacq.) Murrill	Coltricia cinnamomea (Jacq.) Murrill	(Jacq.) Murrill	MY	Malaysia		PRESENT		37560003-ae75-43c3-95aa-48c98797aa2a													2519879	2519879	UNKNOWN							CC_BY_4_0				INTRODUCED	2021-03-09T09:43:07.662Z		
2566053573	da3542b4-9a73-4054-b9a3-2d762e172199	458eaac1-fef4-4b77-b85b-fd705f418497	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Hymenochaetaceae	Pyrrhoderma	Pyrrhoderma noxium		SPECIES	Phellinus noxius (Corner) G.Cunn.	Phellinus noxius (Corner) G. Cunn	(Corner) G. Cunn	ID	Indonesia		PRESENT		37560003-ae75-43c3-95aa-48c98797aa2a													2520109	10882566	UNKNOWN							CC_BY_4_0				INTRODUCED	2021-03-09T09:43:07.875Z		
2566053572	da3542b4-9a73-4054-b9a3-2d762e172199	f6a429ca-8c77-485b-b547-39fe9f67b2d3	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hydnangiaceae	Hydnangium	Hydnangium carneum		SPECIES	Hydnangium carneum Wallr.	Hydnangium carneum Wallr.	Wallr.	AR	Argentina		PRESENT		37560003-ae75-43c3-95aa-48c98797aa2a									2002-01-01T00:00:00			2002	2530904	2530904	UNKNOWN							CC_BY_4_0				INTRODUCED	2021-03-09T09:43:07.871Z		
