species,status,region,note
Aphaenogaster splendida,established.outdoors,Aegean Islands,""
Tapinoma simrothi,established.outdoors,Aegean Islands,""
Tetramorium immigrans,established.outdoors,Aegean Islands,""
Solenopsis invicta,established.outdoors,Aguascalientes,""
Aphaenogaster ovaticeps,native,Albania,""
Tapinoma simrothi,established.outdoors,Algeria,""
Tapinoma simrothi,established.outdoors,Balearic Islands,""
Strumigenys perplexa,established.outdoors,Channel Islands,""
Tapinoma simrothi,established.outdoors,Corsica,""
Aphaenogaster splendida,established.outdoors,Crete,""
Tapinoma simrothi,established.outdoors,Crete,""
Tetramorium immigrans,established.outdoors,Crete,""
Aphaenogaster ovaticeps,native,Croatia,""
Aphaenogaster splendida,native,Cyprus,""
Anoplolepis gracilipes,established.outdoors,Distrito Federal Mexico,""
Aphaenogaster splendida,native,Egypt,""
Syllophopsis sechellensis,established.outdoors,Florida,""
Crematogaster scutellaris,established.outdoors,France,species is considered native and non-native in the same region
Tapinoma darioi,established.outdoors,France,species is considered native and non-native in the same region
Tapinoma magnum,established.outdoors,France,species is considered native and non-native in the same region
Tapinoma nigerrimum,established.outdoors,France,species is considered native and non-native in the same region
Tapinoma simrothi,established.outdoors,Greece,""
Aphaenogaster ovaticeps,native,Greece,""
Syllophopsis subcoeca,established.outdoors,Guangdong,""
Tetramorium tonganum,established.outdoors,Guangdong,""
Ooceraea biroi,established.outdoors,Hainan,""
Plagiolepis alluaudi,established.outdoors,Hainan,""
Tetramorium lanuginosum,established.outdoors,Hainan,""
Tapinoma simrothi,established.outdoors,Ionian Islands,""
Aphaenogaster ovaticeps,native,Ionian Islands,""
Aphaenogaster splendida,native,Israel and Palestine,""
Aphaenogaster ovaticeps,established.outdoors,Italy,""
Tapinoma nigerrimum,established.outdoors,Italy,""
Tapinoma simrothi,established.outdoors,Italy,""
Tetramorium insolens,established.outdoors,Jalisco,""
Tapinoma simrothi,established.outdoors,Libya,""
Aphaenogaster splendida,established.outdoors,Malta,""
Tapinoma simrothi,established.outdoors,Malta,""
Tapinoma simrothi,established.outdoors,Montenegro,""
Aphaenogaster ovaticeps,native,Montenegro,""
Tapinoma simrothi,established.outdoors,Morocco,""
Aphaenogaster splendida,established.outdoors,Pelagie Islands,""
Tapinoma simrothi,established.outdoors,Pelagie Islands,""
Tapinoma simrothi,established.outdoors,Portugal,""
Cardiocondyla emeryi,established.outdoors,Qatar,""
Tapinoma melanocephalum,established.outdoors,Qatar,""
Tapinoma simrothi,established.outdoors,Qatar,""
Cardiocondyla tjibodana,established.outdoors,Queensland,""
Aphaenogaster splendida,established.outdoors,Sardinia,""
Tapinoma simrothi,established.outdoors,Sardinia,""
Aphaenogaster splendida,established.outdoors,Sicily,""
Tapinoma simrothi,established.outdoors,Sicily,""
Aphaenogaster senilis,established.outdoors,Slovakia,""
Linepithema iniquum,established.outdoors,Sonora,""
Gnamptogenys triangularis,established.outdoors,South Carolina,""
Strumigenys silvestrii,established.outdoors,South Carolina,""
Trichomyrmex mayri,established.outdoors,South Western Australia,""
Aphaenogaster splendida,established.outdoors,Spain,""
Tapinoma simrothi,established.outdoors,Spain,""
Syllophopsis australica,established.outdoors,Sri Lanka,""
Cardiocondyla minutior,established.outdoors,Sulawesi,""
Aphaenogaster splendida,native,Syria,""
Nylanderia flavipes,established.outdoors,Tamaulipas,""
Tapinoma simrothi,established.outdoors,Tunisia,""
Aphaenogaster splendida,native,Turkey,""
Tapinoma simrothi,established.outdoors,Tuscan Archipelago,""
Strumigenys membranifera,established.outdoors,Vietnam,""
Monomorium floricola,established.outdoors,Acre,""
Monomorium pharaonis,established.outdoors,Acre,""
Nylanderia fulva,established.outdoors,Acre,""
Paratrechina longicornis,established.outdoors,Acre,""
Tapinoma melanocephalum,established.outdoors,Acre,""
Tetramorium bicarinatum,established.outdoors,Acre,""
Brachymyrmex heeri,native,Acre,""
Brachymyrmex patagonicus,native,Acre,""
Camponotus atriceps,native,Acre,""
Camponotus novogranadensis,native,Acre,""
Camponotus sexguttatus,native,Acre,""
Cyphomyrmex rimosus,native,Acre,""
Cyphomyrmex salvini,native,Acre,""
Gnamptogenys triangularis,native,Acre,""
Nylanderia guatemalensis,native,Acre,""
Odontomachus bauri,native,Acre,""
Odontomachus haematodus,native,Acre,""
Pachycondyla harpax,native,Acre,""
Pseudomyrmex elongatus,native,Acre,""
Pseudomyrmex gracilis,native,Acre,""
Pseudoponera stigma,native,Acre,""
Solenopsis geminata,native,Acre,""
Solenopsis globularia,native,Acre,""
Solenopsis invicta,native,Acre,""
Solenopsis saevissima,native,Acre,""
Strumigenys eggersi,native,Acre,""
Wasmannia auropunctata,native,Acre,""
Cardiocondyla mauritanica,established.outdoors,Aegean Islands,""
Hypoponera punctatissima,established.outdoors,Aegean Islands,""
Lasius neglectus,established.outdoors,Aegean Islands,""
Lepisiota syriaca,established.outdoors,Aegean Islands,""
Monomorium bicolor,established.outdoors,Aegean Islands,""
Nylanderia jaegerskioeldi,established.outdoors,Aegean Islands,""
Paratrechina longicornis,established.outdoors,Aegean Islands,""
Pheidole indica,established.outdoors,Aegean Islands,""
Camponotus fallax,native,Aegean Islands,""
Camponotus vagus,native,Aegean Islands,""
Cataglyphis nodus,native,Aegean Islands,""
Crematogaster scutellaris,native,Aegean Islands,""
Crematogaster sordidula,native,Aegean Islands,""
Formica rufibarbis,native,Aegean Islands,""
Hypoponera eduardi,native,Aegean Islands,""
Lasius alienus,native,Aegean Islands,""
Lasius emarginatus,native,Aegean Islands,""
Lasius flavus,native,Aegean Islands,""
Lepisiota frauenfeldi,native,Aegean Islands,""
Messor structor,native,Aegean Islands,""
Monomorium monomorium,native,Aegean Islands,""
Monomorium subopacum,native,Aegean Islands,""
Pheidole pallidula,native,Aegean Islands,""
Plagiolepis pygmaea,native,Aegean Islands,""
Ponera coarctata,native,Aegean Islands,""
Solenopsis fugax,native,Aegean Islands,""
Solenopsis orbula,native,Aegean Islands,""
Temnothorax unifasciatus,native,Aegean Islands,""
Tetramorium caespitum,native,Aegean Islands,""
Tetramorium semilaeve,native,Aegean Islands,""
Tapinoma melanocephalum,established.outdoors,Afghanistan,""
Trichomyrmex destructor,established.outdoors,Afghanistan,""
Camponotus compressus,native,Afghanistan,""
Camponotus sericeus,native,Afghanistan,""
Cardiocondyla mauritanica,native,Afghanistan,""
Cataglyphis nodus,native,Afghanistan,""
Crematogaster subdentata,native,Afghanistan,""
Lasius niger,native,Afghanistan,""
Lepisiota frauenfeldi,native,Afghanistan,""
Lepisiota spinisquama,native,Afghanistan,""
Messor structor,native,Afghanistan,""
Monomorium atomum,native,Afghanistan,""
Monomorium indicum,native,Afghanistan,""
Pheidole indica,native,Afghanistan,""
Plagiolepis pygmaea,native,Afghanistan,""
Solenopsis fugax,native,Afghanistan,""
Tapinoma simrothi,native,Afghanistan,""
Anoplolepis gracilipes,established.outdoors,Aguascalientes,""
Monomorium pharaonis,established.outdoors,Aguascalientes,""
Paratrechina longicornis,established.outdoors,Aguascalientes,""
Camponotus atriceps,native,Aguascalientes,""
Camponotus conspicuus zonatus,native,Aguascalientes,""
Pseudomyrmex gracilis,native,Aguascalientes,""
Solenopsis geminata,native,Aguascalientes,""
Brachymyrmex obscurior,established.outdoors,Alabama,""
Brachymyrmex patagonicus,established.outdoors,Alabama,""
Brachyponera chinensis,established.outdoors,Alabama,""
Cardiocondyla minutior,established.outdoors,Alabama,""
Cardiocondyla venustula,established.outdoors,Alabama,""
Cyphomyrmex rimosus,established.outdoors,Alabama,""
Gnamptogenys triangularis,established.outdoors,Alabama,""
Hypoponera opaciceps,established.outdoors,Alabama,""
Hypoponera opaciceps pampana,established.outdoors,Alabama,""
Hypoponera punctatissima,established.outdoors,Alabama,""
Linepithema humile,established.outdoors,Alabama,""
Monomorium floricola,established.outdoors,Alabama,""
Nylanderia bourbonica,established.outdoors,Alabama,""
Nylanderia fulva,established.outdoors,Alabama,""
Odontomachus haematodus,established.outdoors,Alabama,""
Odontomachus ruginodis,established.outdoors,Alabama,""
Paratrechina longicornis,established.outdoors,Alabama,""
Pheidole navigans,established.outdoors,Alabama,""
Pheidole obscurithorax,established.outdoors,Alabama,""
Pseudomyrmex gracilis,established.outdoors,Alabama,""
Pseudoponera stigma,established.outdoors,Alabama,""
Solenopsis invicta,established.outdoors,Alabama,""
Solenopsis richteri,established.outdoors,Alabama,""
Solenopsis saevissima,established.outdoors,Alabama,""
Strumigenys epinotalis,established.outdoors,Alabama,""
Strumigenys hexamera,established.outdoors,Alabama,""
Strumigenys margaritae,established.outdoors,Alabama,""
Strumigenys membranifera,established.outdoors,Alabama,""
Strumigenys silvestrii,established.outdoors,Alabama,""
Tapinoma melanocephalum,established.outdoors,Alabama,""
Tetramorium bicarinatum,established.outdoors,Alabama,""
Tetramorium immigrans,established.outdoors,Alabama,""
Tetramorium lanuginosum,established.outdoors,Alabama,""
Wasmannia auropunctata,established.outdoors,Alabama,""
Camponotus pennsylvanicus,native,Alabama,""
Hypoponera opacior,native,Alabama,""
Lasius neoniger,native,Alabama,""
Monomorium trageri,native,Alabama,""
Nylanderia vividula,native,Alabama,""
Pheidole bilimeki,native,Alabama,""
Ponera exotica,native,Alabama,""
Solenopsis geminata,native,Alabama,""
Solenopsis globularia,native,Alabama,""
Strumigenys louisianae,native,Alabama,""
Tapinoma sessile,native,Alabama,""
Temnothorax longispinosus,native,Alabama,""
Paratrechina longicornis,established.outdoors,Alagoas,""
Tapinoma melanocephalum,established.outdoors,Alagoas,""
Anochetus mayri,native,Alagoas,""
Camponotus atriceps,native,Alagoas,""
Camponotus novogranadensis,native,Alagoas,""
Cyphomyrmex rimosus,native,Alagoas,""
Odontomachus bauri,native,Alagoas,""
Odontomachus haematodus,native,Alagoas,""
Pachycondyla harpax,native,Alagoas,""
Pseudomyrmex gracilis,native,Alagoas,""
Solenopsis geminata,native,Alagoas,""
Wasmannia auropunctata,native,Alagoas,""
Lasius neoniger,native,Alaska,""
Camponotus fallax,native,Albania,""
Camponotus vagus,native,Albania,""
Cataglyphis nodus,native,Albania,""
Crematogaster scutellaris,native,Albania,""
Crematogaster sordidula,native,Albania,""
Formica rufibarbis,native,Albania,""
Lasius alienus,native,Albania,""
Lasius emarginatus,native,Albania,""
Lasius flavus,native,Albania,""
Lasius fuliginosus,native,Albania,""
Lasius niger,native,Albania,""
Lepisiota frauenfeldi,native,Albania,""
Messor capitatus,native,Albania,""
Messor minor,native,Albania,""
Messor structor,native,Albania,""
Monomorium monomorium,native,Albania,""
Myrmica scabrinodis,native,Albania,""
Pheidole pallidula,native,Albania,""
Plagiolepis pygmaea,native,Albania,""
Ponera coarctata,native,Albania,""
Solenopsis fugax,native,Albania,""
Solenopsis orbula,native,Albania,""
Temnothorax unifasciatus,native,Albania,""
Tetramorium atratulum,native,Albania,""
Tetramorium caespitum,native,Albania,""
Tetramorium semilaeve,native,Albania,""
Lasius niger,established.outdoors,Alberta,""
Lasius neoniger,native,Alberta,""
Pogonomyrmex occidentalis,native,Alberta,""
Tapinoma sessile,native,Alberta,""
Lasius niger,established.outdoors,Algeria,""
Linepithema humile,established.outdoors,Algeria,""
Lioponera longitarsus,established.outdoors,Algeria,""
Messor capitatus,established.outdoors,Algeria,""
Monomorium monomorium,established.outdoors,Algeria,""
Monomorium pharaonis,established.outdoors,Algeria,""
Nylanderia jaegerskioeldi,established.outdoors,Algeria,""
Paratrechina longicornis,established.outdoors,Algeria,""
Strumigenys membranifera,established.outdoors,Algeria,""
Tetramorium bicarinatum,established.outdoors,Algeria,""
Tetramorium lanuginosum,established.outdoors,Algeria,""
Tetramorium simillimum,established.outdoors,Algeria,""
Trichomyrmex destructor,established.outdoors,Algeria,""
Aphaenogaster gemella,native,Algeria,""
Aphaenogaster senilis,native,Algeria,""
Camponotus barbaricus,native,Algeria,""
Camponotus fallax,native,Algeria,""
Camponotus sericeus,native,Algeria,""
Camponotus thoracicus,native,Algeria,""
Camponotus vagus,native,Algeria,""
Cardiocondyla batesii,native,Algeria,""
Cardiocondyla mauritanica,native,Algeria,""
Cardiocondyla nigra,native,Algeria,""
Cataglyphis nodus,native,Algeria,""
Crematogaster inermis,native,Algeria,""
Crematogaster scutellaris,native,Algeria,""
Crematogaster sordidula,native,Algeria,""
Dorylus fulvus,native,Algeria,""
Hypoponera eduardi,native,Algeria,""
Hypoponera ragusai,native,Algeria,""
Lasius flavus,native,Algeria,""
Lasius grandis,native,Algeria,""
Lepisiota bipartita,native,Algeria,""
Lepisiota canescens,native,Algeria,""
Lepisiota capensis,native,Algeria,""
Lepisiota frauenfeldi,native,Algeria,""
Lepisiota frauenfeldi kantarensis,native,Algeria,""
Messor minor,native,Algeria,""
Monomorium andrei,native,Algeria,""
Monomorium salomonis,native,Algeria,""
Monomorium subopacum,native,Algeria,""
Pheidole pallidula,native,Algeria,""
Plagiolepis pygmaea,native,Algeria,""
Plagiolepis schmitzii,native,Algeria,""
Ponera coarctata,native,Algeria,""
Solenopsis fugax,native,Algeria,""
Solenopsis orbula,native,Algeria,""
Tapinoma magnum,native,Algeria,""
Temnothorax unifasciatus,native,Algeria,""
Tetramorium semilaeve,native,Algeria,""
Tetramorium sericeiventre,native,Algeria,""
Acromyrmex octospinosus,native,Amapa,""
Camponotus atriceps,native,Amapa,""
Camponotus sexguttatus,native,Amapa,""
Cyphomyrmex rimosus,native,Amapa,""
Hypoponera opaciceps,native,Amapa,""
Odontomachus haematodus,native,Amapa,""
Pachycondyla harpax,native,Amapa,""
Pseudomyrmex gracilis,native,Amapa,""
Pseudoponera stigma,native,Amapa,""
Solenopsis saevissima,native,Amapa,""
Cardiocondyla minutior,established.outdoors,Amazonas,""
Monomorium floricola,established.outdoors,Amazonas,""
Nylanderia fulva,established.outdoors,Amazonas,""
Paratrechina longicornis,established.outdoors,Amazonas,""
Pheidole megacephala,established.outdoors,Amazonas,""
Tapinoma melanocephalum,established.outdoors,Amazonas,""
Tetramorium caldarium,established.outdoors,Amazonas,""
Tetramorium simillimum,established.outdoors,Amazonas,""
Acromyrmex octospinosus,native,Amazonas,""
Anochetus emarginatus,native,Amazonas,""
Anochetus mayri,native,Amazonas,""
Brachymyrmex cordemoyi,native,Amazonas,""
Brachymyrmex heeri,native,Amazonas,""
Brachymyrmex minutus,native,Amazonas,""
Brachymyrmex patagonicus,native,Amazonas,""
Camponotus atriceps,native,Amazonas,""
Camponotus novogranadensis,native,Amazonas,""
Camponotus sexguttatus,native,Amazonas,""
Cyphomyrmex rimosus,native,Amazonas,""
Ectatomma ruidum,native,Amazonas,""
Gnamptogenys triangularis,native,Amazonas,""
Hypoponera opaciceps,native,Amazonas,""
Hypoponera opacior,native,Amazonas,""
Nylanderia steinheili,native,Amazonas,""
Odontomachus bauri,native,Amazonas,""
Odontomachus haematodus,native,Amazonas,""
Odontomachus ruginodis,native,Amazonas,""
Pachycondyla harpax,native,Amazonas,""
Pheidole exigua,native,Amazonas,""
Pheidole flavens,native,Amazonas,""
Pheidole punctatissima,native,Amazonas,""
Pheidole susannae,native,Amazonas,""
Platythyrea punctata,native,Amazonas,""
Prionopelta antillana,native,Amazonas,""
Pseudomyrmex cubaensis,native,Amazonas,""
Pseudomyrmex elongatus,native,Amazonas,""
Pseudomyrmex gracilis,native,Amazonas,""
Pseudoponera stigma,native,Amazonas,""
Solenopsis geminata,native,Amazonas,""
Solenopsis saevissima,native,Amazonas,""
Wasmannia auropunctata,native,Amazonas,""
Cardiocondyla emeryi,established.outdoors,Amazonas_Brazil,""
Monomorium floricola,established.outdoors,Amazonas_Brazil,""
Monomorium pharaonis,established.outdoors,Amazonas_Brazil,""
Nylanderia fulva,established.outdoors,Amazonas_Brazil,""
Paratrechina longicornis,established.outdoors,Amazonas_Brazil,""
Pheidole megacephala,established.outdoors,Amazonas_Brazil,""
Tapinoma melanocephalum,established.outdoors,Amazonas_Brazil,""
Tetramorium bicarinatum,established.outdoors,Amazonas_Brazil,""
Tetramorium simillimum,established.outdoors,Amazonas_Brazil,""
Acromyrmex octospinosus,native,Amazonas_Brazil,""
Anochetus emarginatus,native,Amazonas_Brazil,""
Anochetus mayri,native,Amazonas_Brazil,""
Brachymyrmex aphidicola,native,Amazonas_Brazil,""
Brachymyrmex australis,native,Amazonas_Brazil,""
Brachymyrmex cordemoyi,native,Amazonas_Brazil,""
Brachymyrmex heeri,native,Amazonas_Brazil,""
Brachymyrmex patagonicus,native,Amazonas_Brazil,""
Camponotus atriceps,native,Amazonas_Brazil,""
Camponotus novogranadensis,native,Amazonas_Brazil,""
Camponotus sexguttatus,native,Amazonas_Brazil,""
Cyphomyrmex rimosus,native,Amazonas_Brazil,""
Cyphomyrmex salvini,native,Amazonas_Brazil,""
Ectatomma ruidum,native,Amazonas_Brazil,""
Gnamptogenys triangularis,native,Amazonas_Brazil,""
Hypoponera opaciceps,native,Amazonas_Brazil,""
Hypoponera opacior,native,Amazonas_Brazil,""
Hypoponera trigona,native,Amazonas_Brazil,""
Linepithema humile,native,Amazonas_Brazil,""
Nylanderia guatemalensis,native,Amazonas_Brazil,""
Nylanderia steinheili,native,Amazonas_Brazil,""
Nylanderia vividula,native,Amazonas_Brazil,""
Odontomachus bauri,native,Amazonas_Brazil,""
Odontomachus haematodus,native,Amazonas_Brazil,""
Pachycondyla harpax,native,Amazonas_Brazil,""
Pheidole exigua,native,Amazonas_Brazil,""
Pheidole flavens,native,Amazonas_Brazil,""
Platythyrea punctata,native,Amazonas_Brazil,""
Prionopelta antillana,native,Amazonas_Brazil,""
Pseudomyrmex cubaensis,native,Amazonas_Brazil,""
Pseudomyrmex elongatus,native,Amazonas_Brazil,""
Pseudomyrmex gracilis,native,Amazonas_Brazil,""
Pseudoponera stigma,native,Amazonas_Brazil,""
Rogeria curvipubens,native,Amazonas_Brazil,""
Solenopsis geminata,native,Amazonas_Brazil,""
Solenopsis globularia,native,Amazonas_Brazil,""
Solenopsis invicta,native,Amazonas_Brazil,""
Solenopsis picea,native,Amazonas_Brazil,""
Solenopsis saevissima,native,Amazonas_Brazil,""
Strumigenys louisianae,native,Amazonas_Brazil,""
Wasmannia auropunctata,native,Amazonas_Brazil,""
Monomorium pharaonis,established.outdoors,Andaman and Nicobar Islands,""
Paratrechina longicornis,established.outdoors,Andaman and Nicobar Islands,""
Pheidole megacephala,established.outdoors,Andaman and Nicobar Islands,""
Solenopsis geminata,established.outdoors,Andaman and Nicobar Islands,""
Tetramorium bicarinatum,established.outdoors,Andaman and Nicobar Islands,""
Tetramorium lanuginosum,established.outdoors,Andaman and Nicobar Islands,""
Tetramorium pacificum,established.outdoors,Andaman and Nicobar Islands,""
Trichomyrmex destructor,established.outdoors,Andaman and Nicobar Islands,""
Anochetus graeffei,native,Andaman and Nicobar Islands,""
Anoplolepis gracilipes,native,Andaman and Nicobar Islands,""
Brachyponera luteipes,native,Andaman and Nicobar Islands,""
Camponotus compressus,native,Andaman and Nicobar Islands,""
Camponotus variegatus,native,Andaman and Nicobar Islands,""
Cardiocondyla minutior,native,Andaman and Nicobar Islands,""
Monomorium floricola,native,Andaman and Nicobar Islands,""
Nylanderia bourbonica,native,Andaman and Nicobar Islands,""
Odontomachus simillimus,native,Andaman and Nicobar Islands,""
Oecophylla smaragdina,native,Andaman and Nicobar Islands,""
Pheidole indica,native,Andaman and Nicobar Islands,""
Platythyrea parallela,native,Andaman and Nicobar Islands,""
Polyrhachis dives,native,Andaman and Nicobar Islands,""
Tapinoma melanocephalum,native,Andaman and Nicobar Islands,""
Technomyrmex albipes,native,Andaman and Nicobar Islands,""
Tetraponera allaborans,native,Andaman and Nicobar Islands,""
Tetraponera rufonigra,native,Andaman and Nicobar Islands,""
Monomorium pharaonis,established.outdoors,Andhra Pradesh,""
Pheidole megacephala,established.outdoors,Andhra Pradesh,""
Tetramorium bicarinatum,established.outdoors,Andhra Pradesh,""
Camponotus compressus,native,Andhra Pradesh,""
Camponotus sericeus,native,Andhra Pradesh,""
Lepisiota bipartita,native,Andhra Pradesh,""
Lepisiota frauenfeldi,native,Andhra Pradesh,""
Monomorium floricola,native,Andhra Pradesh,""
Monomorium indicum,native,Andhra Pradesh,""
Oecophylla smaragdina,native,Andhra Pradesh,""
Paratrechina longicornis,native,Andhra Pradesh,""
Parvaponera darwinii,native,Andhra Pradesh,""
Tapinoma melanocephalum,native,Andhra Pradesh,""
Trichomyrmex destructor,native,Andhra Pradesh,""
Hypoponera punctatissima,established.outdoors,Andorra,""
Lasius neglectus,established.outdoors,Andorra,""
Camponotus fallax,native,Andorra,""
Camponotus vagus,native,Andorra,""
Crematogaster scutellaris,native,Andorra,""
Formica rufibarbis,native,Andorra,""
Hypoponera eduardi,native,Andorra,""
Lasius alienus,native,Andorra,""
Lasius emarginatus,native,Andorra,""
Lasius flavus,native,Andorra,""
Lasius fuliginosus,native,Andorra,""
Lasius grandis,native,Andorra,""
Lasius niger,native,Andorra,""
Messor structor,native,Andorra,""
Myrmica lobulicornis,native,Andorra,""
Myrmica rubra,native,Andorra,""
Myrmica scabrinodis,native,Andorra,""
Myrmica specioides,native,Andorra,""
Pheidole pallidula,native,Andorra,""
Plagiolepis pygmaea,native,Andorra,""
Ponera coarctata,native,Andorra,""
Tapinoma madeirense,native,Andorra,""
Temnothorax unifasciatus,native,Andorra,""
Tetramorium impurum,native,Andorra,""
Monomorium floricola,established.outdoors,Angola,""
Brachyponera sennaarensis,native,Angola,""
Camponotus maculatus,native,Angola,""
Cardiocondyla emeryi,native,Angola,""
Hypoponera punctatissima,native,Angola,""
Lepisiota capensis,native,Angola,""
Monomorium bicolor,native,Angola,""
Monomorium exiguum,native,Angola,""
Monomorium pharaonis,native,Angola,""
Pheidole megacephala,native,Angola,""
Strumigenys ludovici,native,Angola,""
Strumigenys maxillaris,native,Angola,""
Strumigenys rogeri,native,Angola,""
Strumigenys simoni,native,Angola,""
Technomyrmex pallipes,native,Angola,""
Tetramorium delagoense,native,Angola,""
Tetramorium sericeiventre,native,Angola,""
Monomorium monomorium,established.outdoors,Anhui,""
Plagiolepis alluaudi,established.outdoors,Anhui,""
Brachyponera chinensis,native,Anhui,""
Brachyponera luteipes,native,Anhui,""
Camponotus itoi,native,Anhui,""
Cryptopone testacea,native,Anhui,""
Iridomyrmex anceps,native,Anhui,""
Nylanderia bourbonica,native,Anhui,""
Nylanderia flavipes,native,Anhui,""
Ochetellus glaber,native,Anhui,""
Polyrhachis dives,native,Anhui,""
Tapinoma melanocephalum,native,Anhui,""
Tetramorium kraepelini,native,Anhui,""
Cardiocondyla minutior,established.outdoors,Antioquia,""
Cardiocondyla wroughtonii,established.outdoors,Antioquia,""
Monomorium floricola,established.outdoors,Antioquia,""
Monomorium pharaonis,established.outdoors,Antioquia,""
Paratrechina longicornis,established.outdoors,Antioquia,""
Strumigenys emmae,established.outdoors,Antioquia,""
Tapinoma melanocephalum,established.outdoors,Antioquia,""
Tetramorium bicarinatum,established.outdoors,Antioquia,""
Tetramorium simillimum,established.outdoors,Antioquia,""
Acromyrmex octospinosus,native,Antioquia,""
Adelomyrmex myops,native,Antioquia,""
Brachymyrmex australis,native,Antioquia,""
Brachymyrmex heeri,native,Antioquia,""
Camponotus atriceps,native,Antioquia,""
Camponotus novogranadensis,native,Antioquia,""
Camponotus sexguttatus,native,Antioquia,""
Cylindromyrmex whymperi,native,Antioquia,""
Cyphomyrmex rimosus,native,Antioquia,""
Ectatomma ruidum,native,Antioquia,""
Gnamptogenys triangularis,native,Antioquia,""
Hypoponera opaciceps,native,Antioquia,""
Hypoponera opacior,native,Antioquia,""
Linepithema iniquum,native,Antioquia,""
Nylanderia steinheili,native,Antioquia,""
Odontomachus bauri,native,Antioquia,""
Odontomachus haematodus,native,Antioquia,""
Odontomachus ruginodis,native,Antioquia,""
Pachycondyla harpax,native,Antioquia,""
Pheidole bilimeki,native,Antioquia,""
Pheidole navigans,native,Antioquia,""
Prionopelta antillana,native,Antioquia,""
Pseudomyrmex cubaensis,native,Antioquia,""
Pseudomyrmex elongatus,native,Antioquia,""
Pseudomyrmex gracilis,native,Antioquia,""
Pseudoponera stigma,native,Antioquia,""
Rogeria curvipubens,native,Antioquia,""
Solenopsis geminata,native,Antioquia,""
Solenopsis picea,native,Antioquia,""
Strumigenys eggersi,native,Antioquia,""
Strumigenys gundlachi,native,Antioquia,""
Strumigenys lanuginosa,native,Antioquia,""
Strumigenys louisianae,native,Antioquia,""
Strumigenys margaritae,native,Antioquia,""
Wasmannia auropunctata,native,Antioquia,""
Tapinoma melanocephalum,established.outdoors,Arauca,""
Camponotus sexguttatus,native,Arauca,""
Pseudomyrmex gracilis,native,Arauca,""
Strumigenys eggersi,native,Arauca,""
Strumigenys louisianae,native,Arauca,""
Brachymyrmex cordemoyi,established.outdoors,Arizona,""
Brachymyrmex obscurior,established.outdoors,Arizona,""
Brachymyrmex patagonicus,established.outdoors,Arizona,""
Cardiocondyla mauritanica,established.outdoors,Arizona,""
Cardiocondyla venustula,established.outdoors,Arizona,""
Hypoponera opaciceps,established.outdoors,Arizona,""
Hypoponera opaciceps pampana,established.outdoors,Arizona,""
Hypoponera punctatissima,established.outdoors,Arizona,""
Linepithema humile,established.outdoors,Arizona,""
Nylanderia bourbonica,established.outdoors,Arizona,""
Odontomachus haematodus,established.outdoors,Arizona,""
Paratrechina longicornis,established.outdoors,Arizona,""
Solenopsis globularia,established.outdoors,Arizona,""
Solenopsis invicta,established.outdoors,Arizona,""
Strumigenys membranifera,established.outdoors,Arizona,""
Tetramorium bicarinatum,established.outdoors,Arizona,""
Camponotus essigi,native,Arizona,""
Hypoponera opacior,native,Arizona,""
Lasius neoniger,native,Arizona,""
Nylanderia vividula,native,Arizona,""
Pogonomyrmex occidentalis,native,Arizona,""
Solenopsis geminata,native,Arizona,""
Solenopsis validiuscula,native,Arizona,""
Strumigenys louisianae,native,Arizona,""
Tapinoma sessile,native,Arizona,""
Brachymyrmex patagonicus,established.outdoors,Arkansas,""
Brachyponera chinensis,established.outdoors,Arkansas,""
Cardiocondyla venustula,established.outdoors,Arkansas,""
Hypoponera opaciceps,established.outdoors,Arkansas,""
Linepithema humile,established.outdoors,Arkansas,""
Paratrechina longicornis,established.outdoors,Arkansas,""
Solenopsis invicta,established.outdoors,Arkansas,""
Solenopsis richteri,established.outdoors,Arkansas,""
Strumigenys membranifera,established.outdoors,Arkansas,""
Tetramorium bicarinatum,established.outdoors,Arkansas,""
Tetramorium immigrans,established.outdoors,Arkansas,""
Wasmannia auropunctata,established.outdoors,Arkansas,""
Camponotus pennsylvanicus,native,Arkansas,""
Hypoponera opacior,native,Arkansas,""
Lasius neoniger,native,Arkansas,""
Nylanderia vividula,native,Arkansas,""
Ponera exotica,native,Arkansas,""
Solenopsis geminata,native,Arkansas,""
Strumigenys louisianae,native,Arkansas,""
Tapinoma sessile,native,Arkansas,""
Temnothorax longispinosus,native,Arkansas,""
Hypoponera punctatissima,established.outdoors,Armenia,""
Cataglyphis nodus,native,Armenia,""
Crematogaster subdentata,native,Armenia,""
Formica rufibarbis,native,Armenia,""
Lasius alienus,native,Armenia,""
Lasius emarginatus,native,Armenia,""
Lasius flavus,native,Armenia,""
Lasius fuliginosus,native,Armenia,""
Lasius niger,native,Armenia,""
Lepisiota frauenfeldi,native,Armenia,""
Lepisiota syriaca,native,Armenia,""
Messor minor,native,Armenia,""
Messor structor,native,Armenia,""
Myrmica specioides,native,Armenia,""
Plagiolepis pygmaea,native,Armenia,""
Ponera coarctata,native,Armenia,""
Solenopsis fugax,native,Armenia,""
Tapinoma simrothi,native,Armenia,""
Temnothorax unifasciatus,native,Armenia,""
Tetramorium atratulum,native,Armenia,""
Tetramorium caespitum,native,Armenia,""
Tetramorium immigrans,native,Armenia,""
Cardiocondyla mauritanica,established.outdoors,Arunachal Pradesh,""
